osm_id,name,road_ref,road_class,max_speed,city,geog
49570601,Milady Horákové,,tertiary,50,Brno,0102000000040000001F9CF463389D3040A50E97C1BD994840EEA4CF58459D3040B0F897EEBF994840E0BA6246789D3040E7D88BB2C8994840DA03ADC0909D30404445E6DBCC994840
"[423802944, 84802838]",Milady Horákové,,tertiary,50,Brno,0102000000070000001F9CF463389D3040A50E97C1BD9948402EA1CC50269D304083A0489CBA994840DCF698A3229D304077B00FFCB9994840971C774A079D304050430A54B5994840492B63E87D9C3040FDDCD0949D994840EDDEE57D779C304092FE03519C994840794D5997649C3040F35A649698994840
240765399,Příkop,,tertiary,50,Brno,0102000000050000001F9CF463389D3040A50E97C1BD994840EF17586C389D30401CCF6740BD9948407E00529B389D3040D0E16B19BA9948404ED8D9EB389D3040C51F459DB9994840D77CA6A8449D304027518AB1A7994840
41826596,Vlhká,,residential,30,Brno,010200000004000000C2F693313E9E30409DCB1EB2929848400A4735913E9E30404F8AFB3493984840734DDC85419E30400C19349996984840972C38CD4C9E304093212290A6984840
"[93556004, 329301406]",Křenová,,tertiary,50,Brno,010200000006000000C2F693313E9E30409DCB1EB2929848408D502278329E30405B66C7FC929848408F3FAC92239E304038EC08F192984840B03FE488109E30402C2AE27492984840940156FD009E3040C1D54B9D91984840311702CAF09D30403F879E3990984840
558922050,Křenová,,tertiary,50,Brno,010200000005000000C2F693313E9E30409DCB1EB2929848402398B4F3479E3040CDF39661929848407F880D164E9E3040A94BC63192984840A9FCC632589E3040EB54F99E919848400D631C6D669E3040095A379490984840
559154159,Křenová,,tertiary,50,Brno,01020000000B000000C2F693313E9E30409DCB1EB292984840E5AC99C6409E30400954FF2092984840BE761F36479E3040FEC5223C90984840953435BF509E3040AB0F7FA88F98484049C043AC599E30405859DB148F9848406281542F649E30400B7A14538E984840F913950D6B9E30403A4668BA8D9848402D9A2908799E304047B2A2618C984840B4999E0B7E9E30407D3B2E4F8C984840B63EF6C4849E30400B523AA28C98484025164218899E30406B8885B58C984840
"[1057776506, 1076431836, 395357436, 1057776511]","['Poříčí', 'Opuštěná']",42,primary,"['40', '50']",Brno,01020000000B00000077ED77CD509B3040623A634E869748401BA1FA624A9B3040875E3585849748408542041C429B30404042DEBC82974840B1EDFEC23C9B30406A7F0CC2819748405679A7A7349B30400BBF8A42819748400E34FA2C2A9B3040B2BB404981974840D8A1F54B1F9B304005E8AD70819748408BADFB22FC9A3040DB2049FF819748405D26D41DD59A30400A43893B839748404B6AB290CA9A304040B26FDD839748407DBE77E5C49A30404B46843584974840
"[936123832, 936123833, 48852860]",Jemelkova,15272,tertiary,50,Brno,01020000000B000000040E57BDB28D30405A79138DFF954840CB2DAD86C48D30406D5DC53DF195484058A027AFDF8D304095DEED30DC954840F8771101E28D3040605B9AB6DA9548402AD54F49E78D30407A7BC674D79548407C235FAEEA8D3040E004F060D59548409C99AAC5F18D3040D0BF1369D1954840F8414C78F88D3040E4AC3E0DCE95484070CC576E0E8E3040852BFB09C295484018C79283238E30401A16A3AEB5954840B16EBC3B328E30401FC429CEAC954840
48852860,Jemelkova,15272,tertiary,50,Brno,010200000004000000040E57BDB28D30405A79138DFF954840FBD3A12EAD8D30409EB70C93049648404397CBA1A08D30400AA58A3D0F9648408EEBDFF5998D3040130D52F014964840
"[1267522380, 908483262]",Elišky Junkové,,residential,,Brno,01020000000E000000040E57BDB28D30405A79138DFF954840B9F880E5AD8D3040669D96C4FE9548409249FC40A88D304037339F18FE954840C0BD21437D8D30406FCED25FF9954840E5266A696E8D304028E08DBBF79548404B5F63F2618D3040884A2366F6954840E08B8A93568D304011908A5AF59548407E3A1E33508D3040831D5ABFF4954840AA89F4914A8D304059147651F4954840765F84DF3C8D304042EC4CA1F3954840D7A7774C388D30407847C66AF3954840A57E839B318D304001A19A37F395484091FEA897298D30402AF23515F39548407DA6A844238D3040BF83FAF1F2954840
51137768,Jeronýmova,,residential,,Brno,01020000000900000051DD5CFC6DA33040E17371659A98484004745FCE6CA33040C3A27D079A984840A072A7CF69A33040A619411999984840E27492AD2EA3304033FE7DC685984840CD446C0B2AA33040C81FB182849848400ACBE9FC25A330404513831B84984840B31BC75922A3304093DEDC048498484022B946150FA33040F819170E8498484026A0D33DFCA23040C8957A1684984840
"[857644304, 329417916, 857644303]",Nezamyslova,,residential,,Brno,01020000000600000051DD5CFC6DA33040E17371659A984840DAB5735078A33040CA37DBDC98984840BE69FAEC80A33040B257699C97984840F36B90EE8CA3304096BABFD595984840229111AB9AA33040C68C4BB093984840B46F93F6ABA33040333509DE90984840
329417916,Nezamyslova,,residential,,Brno,01020000000600000051DD5CFC6DA33040E17371659A9848409738F24064A330404B523EA99B984840DFE7AEDB56A3304003B4AD669D984840EEC220FAFFA23040A4726E6EA79848403E44FEF4FAA230408CE8E802A89848407B3A0D07F8A23040B0BECB56A8984840
"[269143081, 51767558]",Úzká,,secondary,50,Brno,0102000000040000000C9F63F6689C30409E0EBFF62798484090C82D9C5A9C30404A52E3EF2898484081ABE1C73D9C304014A97A432B984840223E0B9D329C3040380FCC762A984840
1412722729,Uhelná,,secondary,50,Brno,0102000000030000000C9F63F6689C30409E0EBFF627984840369A12FF669C3040941051F124984840FBF72A43669C304094A0BFD023984840
1355639290,Heršpická,52,primary,80,Brno,0102000000020000005822ABB6F6993040C3D32B65199648405D15A8C5E09930404873BF9E0A964840
7962130,,,secondary,50,Brno,0102000000090000005822ABB6F6993040C3D32B65199648409CF5CE0DF29930400AD6DDE11B964840EA0E18DAEF993040F1796A9A1C9648405D46FB69ED993040E527D53E1D964840835C983BE999304014EEF0321E964840E4704111E699304067A494C61E964840AA2281ABE19930407338A91E1F964840D63D0D73DD993040B42737401F964840256EBA0ACE993040145E82531F964840
49341659,Jihlavská,602,secondary,50,Brno,0102000000060000005822ABB6F6993040C3D32B651996484038256AB3FB993040D5C853FB199648406BCA5F6B009A304087E354C61A964840AA1D0FC7049A30408725D4C21B9648407FA65EB7089A3040EBD09FEC1C964840F46E2C280C9A3040A3A8D83D1E964840
8061197,Podlipná,380,secondary,50,Brno,01020000000300000038C8DA954CAA30408AA7C3AFFD9248403B59C57652AA304073E1F6BAFB9248404E017A2B5CAA30406FE877ABF8924840
"[8061193, 8061197]","['Podlipná', 'Revoluční']",380,secondary,50,Brno,01020000000300000038C8DA954CAA30408AA7C3AFFD92484016BB229D26AA30400D2DFC2A0A934840A9EF46301FAA30400C55D6DB0B934840
8061198,Podlipná,,residential,,Brno,01020000000400000038C8DA954CAA30408AA7C3AFFD924840DBA337DC47AA304032AAB129FC924840FB2477D844AA304002E49535FB92484040F09D3D3CAA304032B0E99CFA924840
4052582,Křenová,,tertiary,50,Brno,01020000000300000007616EF7729D30405B8B602D88984840D7416F3B7E9D3040BB511A20879848408CED5AE7849D3040853E58C686984840
"[49679969, 33746274, 395358334, 395358337]",Nádražní,,residential,"['30', '50']",Brno,01020000000600000007616EF7729D30405B8B602D88984840FD82DDB06D9D304042435ABE89984840C7F0D8CF629D30407C4F9B278D984840426D65D35B9D30409F0BD92F8E984840FB9A406C449D30400954FF20929848403CD285FD439D304080CC183092984840
138944932,Koliště,,secondary,50,Brno,01020000000400000007616EF7729D30405B8B602D889848407D491927749D30404301DBC1889848405A34F8567F9D3040AB71DB638E9848406CA862748A9D30408109DCBA9B984840
967512702,Dornych,,secondary,50,Brno,01020000000300000007616EF7729D30405B8B602D88984840B43A3943719D3040084B862D8798484055C26E33709D30404421B88086984840
"[423831102, 81147895]",Koliště,,secondary,50,Brno,010200000007000000265C23DD2A9D3040B73533445F9948408D6AC7C3319D30406CBE00B15B9948401E7C17A53A9D3040924A67165799484068976F7D589D30409631F43E4499484055E5D6FF949D3040EB40310D1E99484034FC02D59A9D30407017505E1A994840572E0A719B9D304082CAF8F719994840
"[84802829, 84802846]",Jezuitská,,residential,30,Brno,010200000005000000265C23DD2A9D3040B73533445F994840C059EFDC209D3040A74643215D994840974DCAEE139D3040F5A7435D5A9948409C6B98A1F19C30406490BB0853994840A6FBEF77DE9C3040A81B28F04E994840
"[423831104, 239879489, 1167173581, 423831094]",Koliště,,secondary,50,Brno,01020000000B000000265C23DD2A9D3040B73533445F9948401DFA939D239D30402789809E6199484031B9AC1D209D3040E53796C1629948400C72BCA7179D3040AE18648165994840E8D19EDC009D3040293C0DBD6A99484095CDC1D8E79C3040501FDCF86E9948401A7E816ACD9C304012F5824F739948405E81E849999C3040C07BA2467C994840F42911F28B9C30404811BE9C7E9948405C85DE2C6F9C3040750DE9A6839948405AB8ACC2669C304015D1652085994840
4053483,Helfertova,,residential,30,Brno,010200000003000000CE609D746C9E30400F3E39AF569A48403BF82E4A759E3040567435C3579A48401D4421B8809E304002429028599A4840
48578338,Durďákova,,residential,30,Brno,010200000005000000CE609D746C9E30400F3E39AF569A484022A7AFE76B9E30407F07509D589A48406E77C542639E3040BF5BC5877E9A4840EC70CF4E619E304053B93FCD7F9A48404738D2BE5E9E304041A43A78819A4840
94175022,Helfertova,,residential,30,Brno,010200000003000000CE609D746C9E30400F3E39AF569A4840132054F3669E3040C8917307569A484013E2804C219E3040CCF742B74D9A4840
776689006,Bosonožské náměstí,,residential,,Brno,0102000000020000009E341EB63E883040E6C4C320559648405FA7A2C222883040DB673AE05F964840
4071402,Bosonožské náměstí,,residential,,Brno,0102000000030000009E341EB63E883040E6C4C3205596484095A938C42E883040CDBE3CAE57964840E6BD7B911A88304024F25D4A5D964840
776689006,Bosonožské náměstí,,residential,,Brno,0102000000040000009E341EB63E883040E6C4C32055964840C55CAD6E50883040AE96E0794E96484015866D307988304060BCD529459648409CCD99A37D88304001BAD4AD43964840
4044024,Bosonožské náměstí,,residential,,Brno,010200000002000000605B3FFD67873040339AA6199C964840DF48450834873040FDCBA43CA9964840
4044024,Bosonožské náměstí,,residential,,Brno,010200000006000000605B3FFD67873040339AA6199C9648403698E19A968730406F25E07C8F964840F20703CFBD8730401B4C1EAA8496484027158DB5BF8730400452071E8496484008550F3DCE87304000E9F6ED7F964840DE6B521BE68730407B99CD8877964840
5587914,Bosonožské náměstí,,unclassified,,Brno,010200000003000000605B3FFD67873040339AA6199C9648408791B98D6187304082E1010A9A964840AE0FEB8D5A8730406BBF10CD97964840
26305695,Táborská,,tertiary,50,Brno,010200000006000000C60E74FE37A23040D5B48B69A6984840CA07F30D3BA230405D50DF32A79848407B1684F23EA2304057314BF1A798484005DB2D6E48A23040B64DF1B8A8984840F66E3D5464A23040E4CB553DAA9848406276604A6EA2304055C9B6C2AA984840
"[46256057, 79021283]","['Táborská', 'Neklanova']",,residential,,Brno,010200000008000000C60E74FE37A23040D5B48B69A69848402C280CCA34A23040FE33396BA698484067D5E76A2BA230404023C78CA6984840033054B428A23040BD72BD6DA6984840047289230FA23040ABC54C47A598484044F0092307A2304086B5E7E8A798484091CC8F64FBA13040DC3EF559AF9848407ACF3758EEA130401F9F909DB7984840
