"id","source_type","source_id","target_type","target_id","link_type","confidence","description","created_at"
6805,"restriction",94492,"traffic_jam",53253,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.088368+00"
6806,"restriction",94492,"traffic_jam",51600,"caused_by",80,"laneClosures matched jam(standstill) via street","2026-04-15 16:54:40.09009+00"
6807,"restriction",94492,"traffic_jam",48984,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.091828+00"
6808,"restriction",94492,"traffic_jam",46666,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.093465+00"
6809,"restriction",94492,"traffic_jam",46621,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.095181+00"
6810,"restriction",94492,"traffic_jam",45420,"caused_by",80,"laneClosures matched jam(standstill) via street","2026-04-15 16:54:40.096787+00"
6811,"restriction",94492,"traffic_jam",44931,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.098561+00"
6812,"restriction",94492,"traffic_jam",44091,"caused_by",80,"laneClosures matched jam(standstill) via street","2026-04-15 16:54:40.100179+00"
6813,"restriction",94492,"traffic_jam",44013,"caused_by",80,"laneClosures matched jam(standstill) via street","2026-04-15 16:54:40.101948+00"
6814,"restriction",94492,"traffic_jam",43663,"caused_by",80,"laneClosures matched jam(standstill) via street","2026-04-15 16:54:40.103503+00"
6815,"restriction",94492,"traffic_jam",44438,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.10519+00"
6816,"restriction",94492,"traffic_jam",41983,"caused_by",80,"laneClosures matched jam(standstill) via street","2026-04-15 16:54:40.107014+00"
6817,"restriction",94492,"traffic_jam",40803,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.108727+00"
6818,"restriction",94492,"traffic_jam",39445,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.110525+00"
6819,"restriction",94492,"traffic_jam",38563,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.112272+00"
6820,"restriction",94492,"traffic_jam",37349,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.114151+00"
6821,"restriction",94492,"traffic_jam",36986,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.115941+00"
6822,"restriction",94492,"traffic_jam",35799,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.117841+00"
6823,"restriction",94492,"traffic_jam",34271,"caused_by",55,"laneClosures matched jam(moderate) via spatial","2026-04-15 16:54:40.119547+00"
6824,"restriction",94492,"traffic_jam",33540,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.121401+00"
6825,"restriction",94492,"traffic_jam",31663,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.123166+00"
6826,"restriction",94492,"traffic_jam",31471,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.125006+00"
6827,"restriction",94492,"traffic_jam",31262,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.126813+00"
6828,"restriction",94492,"traffic_jam",30631,"caused_by",60,"laneClosures matched jam(heavy) via spatial","2026-04-15 16:54:40.128408+00"
6829,"restriction",94492,"traffic_jam",29880,"caused_by",60,"laneClosures matched jam(heavy) via spatial","2026-04-15 16:54:40.130214+00"
6830,"restriction",94492,"traffic_jam",29340,"caused_by",60,"laneClosures matched jam(heavy) via spatial","2026-04-15 16:54:40.131872+00"
6831,"restriction",94492,"traffic_jam",29208,"caused_by",65,"laneClosures matched jam(standstill) via spatial","2026-04-15 16:54:40.133702+00"
6832,"restriction",94492,"traffic_jam",28993,"caused_by",60,"laneClosures matched jam(heavy) via spatial","2026-04-15 16:54:40.13539+00"
6833,"restriction",94492,"traffic_jam",27892,"caused_by",60,"laneClosures matched jam(heavy) via spatial","2026-04-15 16:54:40.137196+00"
6834,"restriction",94492,"traffic_jam",27904,"caused_by",55,"laneClosures matched jam(moderate) via spatial","2026-04-15 16:54:40.138812+00"
6835,"restriction",94492,"traffic_jam",27125,"caused_by",60,"laneClosures matched jam(heavy) via spatial","2026-04-15 16:54:40.140648+00"
6836,"restriction",94492,"traffic_jam",24467,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.142321+00"
6837,"restriction",94492,"traffic_jam",24445,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.144109+00"
6838,"restriction",94492,"traffic_jam",17371,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.145698+00"
6839,"restriction",94492,"traffic_jam",17209,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.14743+00"
